Marca temporal;Género;Edad;Grado de estudios;Distrito en el que vives;Trabajas;Consumes drogas;Consumes licor;Llegas puntual a las  clases;Perteneces a alguna pandilla;Qué tan responsable se considera;Considera posible terminar el año escolar;Cómo te consideras en los estudios;Cómo te consideras para estos cursos: Matemáticas, Física, Religión y Lenguaje;Te gusta estudiar;Estudian en un buen ambiente físico;Te gusta estudiar en grupo;Cuántas horas al día son dedicada al estudio;Si te dieran a elegir entre estudiar o no estudiar. ¿Estudiarías?;Cuál de las siguientes redes sociales usas para buscar información para tus tareas;Cuántos integrantes hay en su grupo familiar;Cuántos trabajan en su familia;Cuántos de su familia estudian;Cuántos de sus familiares reciben pensión del Estado;Dependes de tus padres;Dependes de alguna persona;Nivel de educación de su padre;Nivel de educación de su madre;De qué manera el stress influye en su vida escolar;Tiene empatía hacia sus compañeros;Cuando obtienes malas notas. Te sientes;Que cantidad de amigos te gustaría tener;Cantidad de horas que trabaja a la semana;Ingreso familiar aproximado mensualmente;Sus estudios iniciales en que establecimiento lo realizó;Establecimiento en el que estudia es;Promedio ponderado durante el año
10/24/2022 10:15:39;2;15;2;2;1;2;2;3;2;1;1;2;3;1;1;2;4;1;Google;5;2;3;0;1;1;3;2;4;2;1;2;1;2;1;Público;15
10/24/2022 10:18:29;2;14;2;1;2;2;2;1;2;1;1;1;1;1;1;1;6;1;Google, Facebook, Wasap, Tiktok;3;2;1;0;1;1;4;4;3;1;1;3;0;4;1;Público;18
10/24/2022 10:21:52;1;16;1;1;1;2;1;3;2;4;1;3;3;1;1;3;2;1;Google, Facebook, Instagram, Wasap;6;4;3;0;1;2;2;1;2;4;4;1;1;1;1;Público;13
10/24/2022 10:25:45;1;17;1;1;1;1;1;2;1;3;3;3;5;1;2;2;0;1;Google, Instagram, Wasap, Tiktok;7;1;3;0;1;2;1;1;2;1;3;2;1;2;1;Público;11
10/24/2022 10:27:46;2;16;1;1;2;2;2;3;2;2;1;2;2;1;1;1;2;1;Google;5;2;3;0;1;1;4;2;4;2;1;2;0;2;3;Público;16
10/24/2022 10:31:54;2;15;2;1;2;2;2;1;2;2;1;1;1;1;1;1;6;1;Google, Facebook, Twitter, Tiktok;4;2;2;0;1;1;4;3;3;2;1;2;0;3;1;Público;16
10/24/2022 10:36:28;1;17;1;1;2;2;2;1;2;2;1;1;1;1;1;1;6;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;3;2;1;0;1;1;4;4;3;1;1;2;0;4;2;Público;17
10/24/2022 10:39:30;2;16;1;1;2;2;2;1;2;2;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;2;2;0;1;1;4;4;3;2;4;2;0;4;2;Público;16
10/24/2022 10:43:07;2;16;1;1;2;2;2;1;2;1;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;2;2;0;1;1;4;2;3;1;2;1;0;3;1;Público;15
10/24/2022 10:46:23;1;15;2;1;1;2;2;1;2;2;1;1;1;1;1;1;3;1;Google, Instagram, Tiktok;4;3;2;0;1;1;3;3;3;2;1;3;1;2;1;Público;15
10/24/2022 10:49:25;2;16;1;1;2;2;2;1;2;1;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;3;2;1;0;1;1;4;4;3;2;2;2;0;3;2;Público;18
10/24/2022 10:51:18;1;15;1;2;1;1;1;1;2;2;1;2;2;1;1;1;5;1;Google, Facebook, Wasap;4;3;1;0;2;3;2;2;4;2;2;1;1;3;1;Público;20
10/24/2022 10:52:02;1;17;1;1;1;2;1;3;1;3;3;3;3;1;2;3;1;1;Google, Wasap;5;4;2;1;2;3;3;3;1;1;4;1;1;2;1;Público;13
10/24/2022 10:54:26;2;15;2;1;2;2;2;3;2;2;1;2;2;1;1;1;4;1;Google, Tiktok;4;3;4;2;1;3;4;3;4;2;4;2;0;4;1;Público;17
10/24/2022 10:55:14;2;15;2;1;2;2;2;1;2;1;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;2;2;2;1;1;4;4;3;1;2;2;0;3;1;Público;17
10/24/2022 10:58:22;2;17;2;1;1;2;1;3;2;1;1;2;3;1;1;3;8;1;Google, Facebook, Wasap;4;2;2;0;2;3;2;2;5;1;1;2;1;3;1;Público;20
10/24/2022 11:03:08;2;16;1;1;2;2;2;1;1;2;1;1;1;1;1;1;3;1;Google, Facebook, Twitter, Instagram;5;3;2;2;1;2;4;4;3;2;1;3;0;4;1;Público;16
10/24/2022 11:03:26;1;16;1;1;2;2;2;1;2;1;1;1;2;1;1;1;4;1;Google, Facebook, Twitter, Wasap;5;2;3;1;1;1;3;2;3;2;2;1;1;3;1;Público;15
10/24/2022 11:06:10;2;16;1;1;2;2;2;1;2;2;1;1;2;1;1;1;6;1;Google;2;1;0;2;1;1;4;4;4;2;1;2;1;3;2;Público;18
10/24/2022 11:07:11;2;17;1;1;2;2;2;1;2;2;1;1;1;1;1;1;4;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;2;2;2;1;1;4;4;2;2;2;2;0;4;2;Público;16
10/24/2022 11:12:12;1;15;2;1;1;2;1;3;2;2;1;3;3;1;2;1;1;1;Google;2;2;1;0;2;3;2;2;4;2;4;2;1;1;1;Público;14
10/24/2022 11:13:48;2;15;2;1;2;2;2;1;2;2;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;3;2;1;1;1;1;4;4;2;2;2;2;0;4;2;Público;17
10/24/2022 11:15:49;2;15;2;1;2;2;2;3;2;2;1;2;1;1;1;1;3;1;Google;5;2;3;0;1;1;3;2;3;1;2;2;0;3;1;Público;18
10/24/2022 11:15:58;2;17;1;1;2;2;2;3;2;2;1;2;1;1;1;3;2;1;Google;4;2;2;2;1;1;4;4;3;2;1;3;0;2;1;Público;16
10/24/2022 11:17:29;1;16;1;1;2;2;2;1;2;1;1;1;1;1;1;1;6;1;Google, Facebook, Wasap;3;2;1;2;1;1;4;3;3;1;1;3;0;3;2;Público;15
10/24/2022 11:18:13;2;15;2;1;2;2;2;1;2;2;1;1;1;1;1;1;3;1;Google;7;3;4;0;1;1;4;4;3;1;2;1;1;3;2;Público;17
10/24/2022 11:23:56;1;17;1;1;2;2;1;3;2;1;1;2;3;1;1;1;8;1;Google, Facebook, Wasap;5;3;2;0;1;1;2;2;4;4;1;3;0;3;1;Público;15
10/24/2022 11:25:28;1;15;2;1;2;2;2;3;2;2;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;3;2;1;2;1;1;4;3;3;4;1;2;0;4;2;Público;17
10/24/2022 11:26:15;1;16;1;1;2;1;2;1;2;2;1;3;3;1;2;2;3;1;Google;4;2;2;0;1;1;2;2;3;2;2;1;0;2;2;Público;14
10/24/2022 11:27:58;2;16;1;1;2;2;2;1;2;2;1;1;1;1;1;1;4;1;Google, Twitter, Instagram, Wasap, Tiktok;5;3;2;2;1;2;4;3;3;4;1;1;0;3;1;Público;16
10/24/2022 11:42:38;2;16;1;1;2;2;2;1;2;2;1;1;1;1;1;3;4;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;2;2;2;1;1;4;4;3;4;1;2;0;4;1;Público;17
10/24/2022 11:49:53;1;17;1;1;1;2;2;1;2;2;1;1;1;1;1;1;3;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;4;3;2;2;1;1;3;3;3;1;1;3;1;2;1;Público;15
10/24/2022 11:56:00;2;15;2;1;2;2;2;1;2;1;1;1;1;1;1;1;5;1;Google, Wasap, Tiktok;5;3;3;2;1;2;4;4;3;2;1;2;0;4;1;Público;18
10/24/2022 11:58:17;2;15;2;1;1;2;2;1;2;2;1;1;1;1;1;1;4;1;Google, Instagram, Tiktok;3;3;1;2;1;1;4;4;3;1;1;1;1;3;2;Público;16
10/24/2022 12:00:20;1;17;1;1;1;1;1;3;1;3;3;3;5;2;2;2;0;2;Facebook, Wasap, Tiktok;5;4;3;1;2;3;2;2;4;3;3;4;1;1;1;Público;11
10/24/2022 12:01:56;1;17;1;1;1;1;2;1;1;1;1;2;3;1;2;3;2;1;Google, Facebook;4;3;2;2;1;1;3;2;3;2;1;3;1;2;1;Público;15
10/24/2022 12:03:37;2;15;2;1;2;2;2;1;2;2;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Wasap;3;2;2;2;1;1;4;4;3;2;1;1;0;4;2;Público;17
10/24/2022 12:10:59;1;16;1;1;2;2;2;1;1;2;1;1;1;1;1;1;5;1;Google, Facebook;3;2;2;2;1;1;4;4;3;2;1;3;1;1;2;Público;17
10/24/2022 12:14:08;2;17;1;1;2;2;2;1;2;1;1;1;1;1;1;1;6;1;Google, Facebook, Twitter, Instagram, Tiktok;4;2;2;2;1;1;4;4;3;1;4;2;0;3;2;Público;17
10/24/2022 12:15:44;2;15;2;1;1;2;2;1;2;2;1;1;1;1;1;1;4;1;Google, Facebook, Tiktok;5;3;3;2;1;1;4;3;3;2;4;1;1;3;1;Público;16
10/24/2022 12:18:43;2;15;2;1;2;2;2;3;2;3;3;3;4;1;2;2;1;2;Google, Wasap;4;2;2;1;1;1;4;4;4;4;4;3;0;3;1;Público;12
10/24/2022 12:20:22;2;15;2;1;2;2;2;3;2;3;3;4;4;2;2;2;0;2;Facebook;3;2;1;2;1;1;3;2;4;4;4;3;0;2;1;Público;10
10/24/2022 12:22:01;2;16;1;1;2;2;2;3;2;2;1;1;1;1;1;1;4;1;Google, Facebook, Instagram;4;3;3;2;1;1;4;4;3;2;4;2;0;4;2;Público;17
